"","artist","artist_id","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20"
"195","Mau y Ricky","2wkoKEfS6dXwThbyTnZWFU","latin","latin pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Jason Mraz","4phGZZrJZRo4ElhRtViYdl","acoustic pop","neo mellow","pop","pop rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Nicky Jam","1SupJlEpv7RS2tPNRaHViT","latin","latin hip hop","pop","reggaeton","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","canadian hip hop","hip hop","pop","pop rap","rap","southern hip hop","toronto rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","j-hope","0b1sIQumIAsNbqAoIClSpy","k-hop","k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Meghan Trainor","6JL8zeS1NmiOftqZTRgdTz","dance pop","hip pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Swae Lee","1zNqQNIdeOUZHb8zbZRFMX","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Lil Yachty","6icQOAFXDZKsumw3YXyusw","atl hip hop","pop rap","rap","southern hip hop","trap music","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Years & Years","5vBSrE1xujD2FXYRarbAXc","dance pop","gauze pop","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","HRVY","28y6CyJNkGNjJQKrlx4AmN","australian pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Dennis Lloyd","3EOEK57CV77D4ovYVcmiyt","israeli pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","King Princess","6beUvFUlKliUYJdLOXNj9C","dance pop","electropop","indie cafe pop","nyc pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Thomas Rhett","6x2LnllRG5uGarZMsD4iO8","contemporary country","country","country road","modern country rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Lil Dicky","1tqhsYv8yBBdwANFNzHtcr","pop rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Sabrina Carpenter","74KM79TiuVKeVCqs8QtB0B","dance pop","pop","post-teen pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Zion & Lennox","21451j1KhjAiaYKflxBjr1","latin","latin hip hop","latin pop","pop","reggaeton","reggaeton flow","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Khea","4m6ubhNsdwF4psNf3R8kwR","argentine hip hop","trap argentino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","N.E.R.D","5wPoxI5si3eJsYYwyXV4Wi","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Prince Royce","3MHaV05u0io8fQbZ2XPtlC","bachata","latin","latin pop","pop","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Panic! At The Disco","20JZFwl6HVl6yg8a4H3ZqK","baroque pop","emo","modern rock","pop punk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Diplo","5fMUXHkw8R8eOP2RNVYEZX","bmore","edm","moombahton","ninja","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","George Ezra","2ysnwxxNtSgbb9t1m2Ur4j","neo-singer-songwriter","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Calum Scott","6ydoSd3N2mwgwBHtF6K7eX","australian pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Madison Beer","2kRfqPViCqYdSGhYSM9R0Q","dance pop","electropop","pop","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Dan + Shay","7z5WFjZAIYejWy0NI5lv4T","contemporary country",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Tyler, The Creator","4V8LLVI7PbaPR0K2TGSxFF","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Ty Dolla $ign","7c0XG5cIJTrrAgEC3ULPiq","hip hop","pop","pop rap","r&b","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Boef","0Jsk5iYMr5aNjHury7blm1","dutch hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Hayley Kiyoko","3LjhVl7GzYsza1biQjTpaN","dance pop","electropop","indie poptimism","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Ricky Martin","7slfeZO9LsJbWgpkIoXBUJ","dance pop","latin","latin pop","mexican pop","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Zé Neto & Cristiano","487N2T9nIPEHrlTZLL3SQs","sertanejo universitario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","AJR","6s22t5Y3prQHyaHWUN1R1C","modern rock","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Poo Bear","3JXpwnHbLvXxY99EuXqFPX","deep pop r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Thirty Seconds To Mars","0RqtSIYZmd4fiBKVFqyIqD","modern rock","pop punk","post-grunge","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Bomba Estéreo","5n9bMYfz9qss2VOW89EVs2","cumbia","latin alternative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","NOTD","5jAMCwdNHWr7JThxtMuEyy","australian pop","dance pop","edm","electropop","pop","pop edm","post-teen pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Nicki Minaj","0hCNtLu0JehylgoiP8L4Gh","dance pop","hip pop","pop","pop rap","post-teen pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Florence + The Machine","1moxjboGR7GNWYIMWsRjgG","baroque pop","chamber pop","folk-pop","pop","uk alternative pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Young Thug","50co4Is1HCEo8bhOyUWKpn","atl hip hop","atl trap","gangster rap","pop","pop rap","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Nio Garcia","5hdhHgpxyniooUiQVaPxQ0","latin","latin hip hop","reggaeton flow","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Karol G","790FomKkXshlbRYZFtlgla","reggaeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Jorge & Mateus","1elUiq4X7pxej6FRlrEzjM","sertanejo","sertanejo universitario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Sigala","1IueXOQyABrMOprrzwQJWN","dance pop","edm","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","MC Kekel","2ZXnTEyYopSLCDiz5Z0XIf","funk carioca","funk ostentacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Leslie Grace","6BeO1KuAWBqFriL1mLHtNc","bachata","latin","latin pop","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Cosculluela","00me4Ke1LsvMxt5kydlMyU","latin","latin hip hop","reggaeton","reggaeton flow","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","J. Cole","6l3HvQ5sa6mXTsMTB19rO5","conscious hip hop","nc hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
