"","track_id","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","danceability"
"1900","1aoIbIxOlTOgH9nyiJvFPz",0.86,2,-6.276,1,0.425,0.198,0,0.125,0.582,191.511,199547,4,0.506
"1901","3eYnKe0LhQA1B5HEkQaRTP",0.436,9,-9.542,0,0.0411,0.45,0,0.102,0.159,69.047,215160,4,0.265
"1902","3WrG9BpOPQWUus3FjA1Tny",0.843,9,-1.18,0,0.194,0.0501,0,0.0604,0.638,99.789,210133,4,0.687
"1903","5jGUJXnELDaDTgiRjD9lsg",0.5,8,-6.708,1,0.0665,0.0139,0.000384,0.0947,0.816,160.02,170509,4,0.85
"1904","2zHu4GAsQIw2skGszWEMFY",0.131,10,-15.647,1,0.0339,0.869,9.48e-05,0.0747,0.445,112.152,177760,4,0.643
"1905","2xGO2UjzxeVQSIkyg98vck",0.421,7,-8.891,1,0.0285,0.214,0,0.232,0.335,83.425,261627,5,0.296
"1906","299lFlaAsNQdgbIZNPmIA0",0.145,9,-19.697,0,0.0318,0.978,6.86e-06,0.0997,0.0911,75.474,166387,3,0.388
"1907","1QXg7pVx5hpAZWw8KIAcGw",0.24,7,-15.181,1,0.0327,0.851,0,0.0997,0.193,81.113,186973,4,0.327
"1908","5wTM2Bm8phDwHAuOsfBwhU",0.708,7,-9.051,1,0.035,0.00292,0.0267,0.102,0.453,66.214,220427,4,0.22
"1909","0i7lZhEMEheehKyCtBJIIL",0.174,4,-16.878,1,0.0363,0.949,0.00051,0.0881,0.123,89.095,201040,3,0.125
"1910","5ymVfeMK8cDew5vzntTuc7",0.634,5,-9.155,0,0.0537,0.724,0,0.0864,0.805,109.575,128400,4,0.571
"1911","56dllQaFZBw3SPTiKZvqYH",0.319,7,-7.109,1,0.0764,0.642,3.96e-06,0.169,0.747,70.057,160640,4,0.674
"1912","5gpImN0eqlucE3a3r121SF",0.589,10,-10.795,1,0.108,0.65,0,0.209,0.657,144.148,223951,4,0.578
"1913","4FQJyi8gnbhKy623wNx6Ps",0.0869,9,-16.759,1,0.071,0.967,0,0.0869,0.502,130.566,151893,4,0.752
"1914","1mH6tZC6iXIHPI6EixCwxw",0.914,9,-6.43,1,0.0515,0.00422,1.4e-05,0.444,0.528,139.955,278947,4,0.383
"1915","4LUAIXN6bpnEVaJZOLfuDt",0.166,8,-16.883,1,0.0471,0.978,0,0.253,0.707,93.914,94733,3,0.571
"1916","5aJP0MZjb8LtPAT5WicCZm",0.456,0,-11.528,1,0.4,0.753,0,0.861,0.94,205.882,103747,4,0.499
"1917","2qkNnJvQvhLiZ63X1L3eFz",0.838,8,-4.734,0,0.13,0.778,0,0.189,0.206,156.008,182341,3,0.398
"1918","4DywxkC9fZ59pBIOS8UFuX",0.181,10,-15.232,1,0.0361,0.982,0.00245,0.108,0.178,112.913,200267,3,0.34
"1919","6KsFSrVS3DwG4xNAPQvznC",0.412,8,-7.97,1,0.0347,0.796,0,0.139,0.47,124.891,157600,4,0.676
"1920","4lftz0V8DZhWSVtL4GrzMH",0.146,4,-16.084,0,0.0321,0.281,0,0.256,0.176,84.041,175173,4,0.223
